aX,aY,aZ,gX,gY,gZ
0.155,1.069,-0.216,11.841,13.184,17.273
0.118,1.099,-0.460,18.433,20.020,10.925
0.099,1.110,-0.551,12.268,10.742,2.197
0.076,1.042,-0.350,0.244,-8.850,-6.287
0.101,0.943,-0.132,-5.432,-19.836,-11.230
0.145,0.916,-0.089,-3.784,-13.794,-7.812
0.142,0.966,-0.164,0.732,-2.747,-1.587
0.096,0.945,-0.207,4.028,3.479,1.221
0.068,0.941,-0.247,4.395,5.005,3.052
0.074,0.976,-0.297,3.540,5.066,6.348
0.086,1.009,-0.290,1.343,1.648,6.287
0.095,1.020,-0.270,-0.061,-1.099,3.235
0.113,1.006,-0.274,-0.366,-2.502,-0.427
0.126,0.987,-0.269,-1.587,-4.089,-2.686
0.128,0.972,-0.223,-3.601,-6.226,-3.662
0.124,0.950,-0.201,-3.479,-5.615,-3.418
0.121,0.948,-0.216,-2.625,-2.869,-2.319
0.119,0.967,-0.243,-2.380,-1.160,-1.160
0.113,0.959,-0.281,-2.869,-0.610,-1.526
0.121,0.942,-0.298,-4.211,-2.441,-2.563
0.127,0.920,-0.276,-6.409,-5.798,-3.235
0.137,0.901,-0.226,-8.057,-8.606,-3.479
0.150,0.902,-0.189,-7.996,-8.240,-2.502
0.151,0.927,-0.196,-5.554,-4.822,-1.587
0.137,0.940,-0.246,-2.258,-1.221,-1.282
0.139,0.935,-0.279,-1.221,-0.549,-1.526
0.148,0.947,-0.265,-2.563,-1.831,-1.160
0.159,0.945,-0.233,-4.150,-2.441,-0.977
0.155,0.953,-0.236,-3.845,-1.343,-0.793
0.154,0.957,-0.266,-2.563,0.122,-0.488
0.161,0.928,-0.270,-2.686,0.305,-1.038
0.158,0.924,-0.249,-3.540,-0.244,-0.305
0.140,0.957,-0.268,-3.601,0.793,0.854
0.113,0.953,-0.320,-2.441,1.526,-0.793
0.272,-2.069,0.238,-43.152,5.859,92.041
0.238,-1.991,0.225,-42.175,12.878,132.263
0.238,-1.921,0.206,-34.363,18.555,164.673
0.256,-1.893,0.193,-25.574,22.217,189.941
0.240,-1.938,0.152,-17.334,24.597,210.449
0.189,-1.992,0.122,-13.855,25.085,231.750
0.145,-2.022,0.139,-12.268,22.888,256.714
0.063,-2.023,0.117,-10.498,21.057,285.461
-0.023,-1.932,0.104,-6.287,18.677,316.895
-0.060,-1.754,0.111,3.967,14.893,346.497
-0.076,-1.544,0.128,14.343,10.132,368.896
-0.117,-1.341,0.133,21.240,5.981,383.484
-0.127,-1.216,0.139,21.667,1.343,391.846
-0.168,-1.166,0.176,11.719,-3.662,398.437
-0.117,-1.066,0.265,-4.761,-7.568,410.339
-0.187,-0.953,0.344,-16.724,-6.897,424.377
-0.263,-0.859,0.410,-35.645,-1.282,438.049
-0.277,-0.680,0.443,-45.227,8.789,455.933
-0.384,-0.533,0.411,-41.809,23.071,471.436
-0.478,-0.456,0.346,-39.673,35.461,482.483
-0.503,-0.434,0.402,-57.434,44.006,497.009
-0.485,-0.497,0.545,-76.721,56.091,514.771
-0.482,-0.571,0.777,-78.613,75.989,539.917
-0.571,-0.494,1.027,-81.177,108.704,574.707
-0.785,-0.168,1.184,-77.454,159.363,609.253
-1.027,0.275,1.159,-36.072,222.046,632.446
-1.264,0.602,0.965,32.043,281.738,633.057
-1.510,1.021,0.618,86.914,331.360,620.789
-1.590,1.532,0.132,125.916,365.479,600.891
-1.557,1.822,-0.292,150.574,372.803,558.411
-1.475,2.095,-0.634,144.409,354.187,504.089
-1.246,2.450,-0.929,130.493,319.824,447.205
-0.886,2.727,-1.082,136.047,266.296,373.901
-0.469,2.858,-1.067,145.996,198.853,284.302
-0.153,2.729,-0.901,126.343,134.033,187.439
-0.065,2.282,-0.680,96.436,81.543,98.938
-0.054,1.770,-0.450,54.016,43.945,38.757
-0.082,1.367,-0.228,10.986,19.775,9.644
-0.122,1.151,-0.051,-11.353,10.254,2.991
-0.172,1.036,0.031,-14.893,15.015,5.005
-0.143,0.884,0.003,4.456,25.452,6.470
-0.045,0.709,-0.040,22.339,32.776,9.766
0.015,0.612,-0.094,30.823,35.339,22.156
0.092,2.871,-0.605,17.090,30.273,32.104
0.018,1.699,-0.352,-4.639,-2.563,-53.040
0.243,0.873,-0.014,88.501,-24.292,-119.263
0.311,0.915,-0.067,48.096,-19.470,-110.168
0.333,1.187,-0.083,13.245,-19.531,-95.947
0.288,1.099,-0.069,4.089,-19.287,-69.519
0.285,1.086,-0.083,-3.296,-15.930,-51.758
0.296,1.007,-0.078,-13.306,-12.024,-34.424
0.294,0.758,0.029,-16.052,-12.573,-18.372
0.354,1.227,-0.145,-30.090,-8.972,4.333
0.260,0.779,-0.050,-36.865,-7.446,14.648
0.238,0.911,0.010,-26.062,-4.456,28.748
0.266,0.991,-0.074,-18.921,-1.465,36.316
0.291,1.038,-0.057,-16.602,4.150,43.762
0.282,0.986,-0.122,-11.230,10.071,46.448
0.285,1.024,-0.122,-11.230,10.437,48.706
0.325,1.143,-0.147,-14.038,9.033,48.706
0.358,1.144,-0.091,-0.305,5.920,34.485
0.372,1.084,0.015,16.907,8.484,16.235
0.362,1.013,0.048,33.997,15.564,3.052
0.312,0.898,0.074,51.086,27.771,-2.258
0.300,0.879,-0.192,50.293,44.067,-1.282
